proceed with, 진행하다
forbid, 금지하다
consider, 고려하다
attract, 마음을)끌다
convene, 소집하다
be associated with, ~과 관련되다
associate, 결부 짓다
reserve, 예약하다
recommend, 추천하다
be related to 명, 명사와)관련되다
respond to, ~에 응답하다
obtained, 얻다
proceeded, 진행하다
marched, 행징하다
as p.p., ~된 대로
acquire, 습득하다
remark, 언급하다
on the first of, 1일에
