persistent, 끈질긴
featured, 특색을 가지게 된
compregensive, 종합적인
experienced, 숙련된
exclusively, only / 단지
Meanwhile, 그동안
Afterwards, 그 후에
However, 하지만
Furthermore, 게다가/ 더욱이
directed, 지시하다 / 전하다
mentioned, 언급하다
consumed, 소모하다
entered, 입력하다
definitely, 확실히/정말
personally, 직접
momentarily, 잠깐동안
shift, 교대근무
circumstances, 정황
extra, 추가의
unexpected, 예상밖의
