enroll, 등록하다
recommendation, 추천
register, 등록하다
grateful, 고마워하는
assent, 찬성하다[v]  승인[n]
regard, ~을 ~으로 여기다[v]  관심 배려[n]
tentative, 잠정적인
function, 행사 연회
commence, 시작되다
objective, 목표 목적
excited,들뜬
treatment, 대우 처우
honor, 존경 명예
emphasize, 강조하다
earn, (돈을)벌다 / (평판을) 얻다
arise, (문제등이) 발생하다
labor, 노동[n]  노동하다[v]
union, 노동조합
existing, 기존의 현행의
exploit, 착취하다 부당하게 이용하다
wallpaper, 벽지
bold, 대담한 용감한
lively, 활기찬 활발한
precise, 정확한 정밀한
prize, 상품[n]  소중하게 여기다[v]

