recruit, 채용하다
resume, 이력서
cover letter, 자기소개서
figures, 실적/성과
executive, 임원
staffing agency, 채용업체
recruitment agency, 채용업체
hand in / turn in, 제출하다
transfer/relocate, 전근
the 형용사 + est, 최상급 가장~한
push back, 연기하다
scheduling conflict, 겹치는 스케줄
correct, 수정하다
partner with, 제휴를 맺다
draft, 초안
sign up for, ~에 등록하다
register for, ~에 등록하다
instrictor, 강사
forget, 잊다/잊어버리다
organizer, 개최자
receive, 수령하다 받다
superior, 우세한 / 상급자
